"violationid","buildingid","registrationid","boroid","boro","housenumber","lowhousenumber","highhousenumber","streetname","streetcode","zip","apartment","story","block","lot","class","inspectiondate","approveddate","originalcertifybydate","originalcorrectbydate","newcertifybydate","newcorrectbydate","certifieddate","ordernumber","novid","novdescription","novissueddate","currentstatusid","currentstatus","currentstatusdate","novtype","violationstatus","rentimpairing","latitude","longitude","communityboard","councildistrict","censustract","bin","bbl","nta"
"10000197","74898","205177","2","BRONX","231","231","231","ECHO PLACE","29920","10457",,"1","2810","45","A","2013-10-08T00:00:00.000","2013-10-12T00:00:00.000","2014-02-01T00:00:00.000","2014-01-18T00:00:00.000",,,,"506","4707797","§ 27-2005 ADM CODE REPLACE WITH NEW THE MISSING HANDRAIL AT EAST AND WEST SECTION AT NORTH AND SOUTH WALL AT PUBLIC HALL, 1st STORY","2013-10-15T00:00:00.000","21","NOT COMPLIED WITH","2023-11-24T00:00:00.000","Original","Open","N","40.849718","-73.904550","5","15","23502","2007730","2028100045","Mount Hope"
"10953402","805012","100420","1","MANHATTAN","144REAR","144rear","146 REAR","LUDLOW STREET","25090","10002",,,"411","45","I","2015-10-16T00:00:00.000","2015-10-16T00:00:00.000",,,,,,"780",,"SECTION27-2107 ADM CODE OWNER FAILED TO FILE A VALID REGISTRATION STATEMENT WITH THE DEPARTMENT AS REQUIRED BY ADM CODE ?27-2097 AND IS THEREFORE SUBJECT TO CIVIL PENALTIES, PROHIBITED FROM CERTIFYING VIOLATIONS, AND DENIED THE RIGHT TO RECOVER POSSESSION OF PREMISES FOR NONPAYMENT OF RENT UNTIL A VALID REGISTRATION STATEMENT IS FILED.",,"9","VIOLATION DISMISSED","2016-02-12T00:00:00.000",,"Close","N",,,,,,,,
"10001891","291510","367627","3","BROOKLYN","118","118","118","FENIMORE STREET","40430","11225","4C","4","5042","35","B","2013-09-30T00:00:00.000","2013-10-11T00:00:00.000","2013-12-03T00:00:00.000","2013-11-19T00:00:00.000",,,"2013-11-06T00:00:00.000","579","4707532","§ 27-2026 ADM CODE REPAIR THE LEAKY AND/OR DEFECTIVE FAUCETS AT THE BATHTUB IN THE BATHROOM LOCATED AT APT 4C, 4th STORY, 2nd APARTMENT FROM SOUTH AT WEST","2013-10-15T00:00:00.000","9","VIOLATION DISMISSED","2014-01-17T00:00:00.000","Original","Close","N","40.658186","-73.958469","9","40","79601","3115515","3050420035","Prospect Lefferts Gardens-Wingate"
"10003866","49163","208142","2","BRONX","2350","2350","2350","BEAUMONT AVENUE","12020","10458","3A","1","3103","26","A","2013-10-11T00:00:00.000","2013-10-15T00:00:00.000","2014-02-02T00:00:00.000","2014-01-19T00:00:00.000",,,,"508","4708424","§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR CEILING , EAST WALL AND SOUTH WALL IN THE KITCHEN LOCATED AT APT 3A, 1st STORY, 1st APARTMENT FROM NORTH AT EAST","2013-10-16T00:00:00.000","19","VIOLATION CLOSED","2014-05-15T00:00:00.000","Original","Close","N","40.853353","-73.884848","6","15","391","2012868","2031030026","Belmont"
"10003867","49163","208142","2","BRONX","2350","2350","2350","BEAUMONT AVENUE","12020","10458","3A","1","3103","26","B","2013-10-11T00:00:00.000","2013-10-15T00:00:00.000","2013-12-04T00:00:00.000","2013-11-20T00:00:00.000",,,,"550","4708425","§ 27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... AT CIELING IN THE BATHROOM LOCATED AT APT 3A, 1st STORY, 1st APARTMENT FROM NORTH AT EAST","2013-10-16T00:00:00.000","19","VIOLATION CLOSED","2014-05-21T00:00:00.000","Original","Close","N","40.853353","-73.884848","6","15","391","2012868","2031030026","Belmont"
"11130460","375411","306067","3","BROOKLYN","22 FRONT","22 FRON","22 FRONT","STAGG STREET","80930","11206",,"1","3031","15","C","2016-02-24T00:00:00.000","2016-02-25T00:00:00.000","2016-03-10T00:00:00.000","2016-03-05T00:00:00.000",,,,"671","5373465","§ 27-2033 ADM CODE POST NOTICE, IN FORM APPROVED BY THE DEPARTMENT, STATING THE NAME AND LOCATION OF THE PERSON DESIGNATED BY THE OWNER TO HAVE KEY TO BUILDINGS HEATING SYSTEM MISSING AT WALL AT PUBLIC HALL, 1st STORY","2016-02-26T00:00:00.000","19","VIOLATION CLOSED","2017-02-15T00:00:00.000","Original","Close","N",,,,,,,,
"11130461","375411","306067","3","BROOKLYN","22 FRONT","22 FRON","22 FRONT","STAGG STREET","80930","11206",,"1","3031","15","A","2016-02-24T00:00:00.000","2016-02-25T00:00:00.000","2016-06-14T00:00:00.000","2016-05-31T00:00:00.000",,,,"778","5373464","§ 27-2104 ADM CODE POST AND MAINTAIN A PROPER SIGN ON WALL OF ENTRANCE STORY SHOWING THE REGISTRATION NUMBER ASSIGNED BY THE DEPARTMENT AND THE ADDRESS OF THE BUILDING. AT PUBLIC HALL, 1st STORY","2016-02-26T00:00:00.000","19","VIOLATION CLOSED","2017-02-15T00:00:00.000","Original","Close","N",,,,,,,,
"11130462","375411","306067","3","BROOKLYN","22 FRONT","22 FRON","22 FRONT","STAGG STREET","80930","11206",,"1","3031","15","C","2016-02-24T00:00:00.000","2016-02-25T00:00:00.000","2016-03-10T00:00:00.000","2016-03-05T00:00:00.000",,,,"501","5373465","§ 27-2005 ADM CODE PROPERLY REPAIR THE BROKEN OR DEFECTIVE LOCKING MECHANISM AT ENTRANCE DOOR TO VESTIBULE AT PUBLIC HALL, 1st STORY","2016-02-26T00:00:00.000","19","VIOLATION CLOSED","2016-06-29T00:00:00.000","Original","Close","N",,,,,,,,
"11674017","375411","306067","3","BROOKLYN","22 FRONT","22 FRON","22 FRONT","STAGG STREET","80930","11206","1F","1","3031","15","B","2017-03-01T00:00:00.000","2017-03-01T00:00:00.000","2017-04-20T00:00:00.000","2017-04-06T00:00:00.000",,,,"569","5695150","§ 27-2018 ADMIN. CODE: ABATE THE NUISANCE CONSISTING OF MICE IN THE ENTIRE APARTMENT LOCATED AT APT 1F, 1st STORY, APARTMENT AT WEST , SECTION AT NORTH","2017-03-02T00:00:00.000","2","NOV SENT OUT","2017-03-02T00:00:00.000","Original","Open","N",,,,,,,,
"11674026","375411","306067","3","BROOKLYN","22 FRONT","22 FRON","22 FRONT","STAGG STREET","80930","11206","1F","1","3031","15","A","2017-03-01T00:00:00.000","2017-03-01T00:00:00.000","2017-06-19T00:00:00.000","2017-06-05T00:00:00.000",,,"2017-07-01T00:00:00.000","508","5695149","§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR WEST WALL AND CEILING IN THE 1st ROOM FROM EAST AT NORTH LOCATED AT APT 1F, 1st STORY, APARTMENT AT WEST , SECTION AT NORTH","2017-03-02T00:00:00.000","4","NOV CERTIFIED LATE","2017-07-01T00:00:00.000","Original","Open","N",,,,,,,,
"10005762","42588","124412","1","MANHATTAN","614","614","614","WEST 152 STREET","36810","10031","5","1","2098","43","A","2013-10-11T00:00:00.000","2013-10-16T00:00:00.000","2014-02-03T00:00:00.000","2014-01-20T00:00:00.000",,,"2014-01-22T00:00:00.000","529","4709406","§ 27-2005 ADM CODE REFIT DOOR, IN THE BATHROOM LOCATED AT APT 5, 1st STORY, 1st APARTMENT FROM EAST AT SOUTH","2013-10-17T00:00:00.000","19","VIOLATION CLOSED","2014-02-24T00:00:00.000","Original","Close","N","40.831085","-73.947813","9","7","237","1062459","1020980043","Hamilton Heights-Sugar Hill"
"11674033","375411","306067","3","BROOKLYN","22 FRONT","22 FRON","22 FRONT","STAGG STREET","80930","11206","1F","1","3031","15","A","2017-03-01T00:00:00.000","2017-03-01T00:00:00.000","2017-06-19T00:00:00.000","2017-06-05T00:00:00.000",,,"2017-07-01T00:00:00.000","508","5695149","§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR ALL WALLS AND CEILING IN THE 2nd ROOM FROM EAST AT SOUTH LOCATED AT APT 1F, 1st STORY, APARTMENT AT WEST , SECTION AT NORTH","2017-03-02T00:00:00.000","4","NOV CERTIFIED LATE","2017-07-01T00:00:00.000","Original","Open","N",,,,,,,,
"11674049","375411","306067","3","BROOKLYN","22 FRONT","22 FRON","22 FRONT","STAGG STREET","80930","11206","1F","1","3031","15","A","2017-03-01T00:00:00.000","2017-03-01T00:00:00.000","2017-06-19T00:00:00.000","2017-06-05T00:00:00.000",,,"2017-07-01T00:00:00.000","508","5695149","§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR ALL WALLS AND CEILING IN THE 1st ROOM FROM EAST AT SOUTH LOCATED AT APT 1F, 1st STORY, APARTMENT AT WEST , SECTION AT NORTH","2017-03-02T00:00:00.000","4","NOV CERTIFIED LATE","2017-07-01T00:00:00.000","Original","Open","N",,,,,,,,
"11674070","375411","306067","3","BROOKLYN","22 FRONT","22 FRON","22 FRONT","STAGG STREET","80930","11206","1F","1","3031","15","A","2017-03-01T00:00:00.000","2017-03-01T00:00:00.000","2017-06-19T00:00:00.000","2017-06-05T00:00:00.000",,,"2017-07-01T00:00:00.000","529","5695151","§ 27-2005 ADM CODE REFIT APARTMENT ENTRANCE DOOR LOCATED AT APT 1F, 1st STORY, APARTMENT AT WEST , SECTION AT NORTH","2017-03-02T00:00:00.000","4","NOV CERTIFIED LATE","2017-07-01T00:00:00.000","Original","Open","N",,,,,,,,
"11674091","375411","306067","3","BROOKLYN","22 FRONT","22 FRON","22 FRONT","STAGG STREET","80930","11206",,"Yards / Courts","3031","15","A","2017-03-01T00:00:00.000","2017-03-01T00:00:00.000","2017-06-19T00:00:00.000","2017-06-05T00:00:00.000",,,"2017-07-01T00:00:00.000","552","5695152","§ 27-2010, 2011, 2012 ADM CODE REMOVE THE ACCUMULATION OF REFUSE AND/OR RUBBISH AND MAINTAIN IN A CLEAN CONDITION THE CENTER YARD","2017-03-02T00:00:00.000","19","VIOLATION CLOSED","2019-02-22T00:00:00.000","Original","Close","N",,,,,,,,
"11991002","375411","306067","3","BROOKLYN","22 FRONT","22 FRON","22 FRONT","STAGG STREET","80930","11206","1F","1","3031","15","A","2017-09-25T00:00:00.000","2017-09-26T00:00:00.000","2018-01-14T00:00:00.000","2017-12-31T00:00:00.000",,,,"501","5858788","§ 27-2005 ADM CODE PROPERLY REPAIR THE BROKEN OR DEFECTIVE DOOR AT CLOSET IN THE 4th ROOM FROM NORTH LOCATED AT APT 1F, 1st STORY, 1st APARTMENT FROM SOUTH AT WEST","2017-09-27T00:00:00.000","2","NOV SENT OUT","2017-09-27T00:00:00.000","Original","Open","N",,,,,,,,
"11991017","375411","306067","3","BROOKLYN","22 FRONT","22 FRON","22 FRONT","STAGG STREET","80930","11206","1F","1","3031","15","B","2017-09-25T00:00:00.000","2017-09-26T00:00:00.000","2017-11-15T00:00:00.000","2017-11-01T00:00:00.000",,,,"509","5858789","§ 27-2005 ADM CODE PROPERLY SECURE THE LOOSE METAL DOOR FRAME TO THE WALLS IN THE ENTRANCE LOCATED AT APT 1F, 1st STORY, 1st APARTMENT FROM SOUTH AT WEST","2017-09-27T00:00:00.000","2","NOV SENT OUT","2017-09-27T00:00:00.000","Original","Open","N",,,,,,,,
"11991029","375411","306067","3","BROOKLYN","22 FRONT","22 FRON","22 FRONT","STAGG STREET","80930","11206","1F","1","3031","15","B","2017-09-25T00:00:00.000","2017-09-26T00:00:00.000","2017-11-15T00:00:00.000","2017-11-01T00:00:00.000",,,,"566","5858789","§ 27-2018 ADM CODE ABATE THE NUISANCE CONSISTING OF VERMIN FLIES IN THE ENTIRE APARTMENT LOCATED AT APT 1F, 1st STORY, 1st APARTMENT FROM SOUTH AT WEST","2017-09-27T00:00:00.000","2","NOV SENT OUT","2017-09-27T00:00:00.000","Original","Open","N",,,,,,,,
"13348431","375411","306067","3","BROOKLYN","22 FRONT","22 FRON","22 FRONT","STAGG STREET","80930","11206","7R","1","3031","15","C","2019-10-21T00:00:00.000","2019-10-22T00:00:00.000","2019-11-18T00:00:00.000","2019-11-13T00:00:00.000",,,,"530","6643184","§ 27-2005, 2007 ADM CODE ARRANGE AND MAKE SELF-CLOSING THE DOORS .. IN THE ENTRANCE LOCATED AT APT 7R, 1st STORY, 1st APARTMENT FROM NORTH AT EAST , SECTION 'REAR BLDG.'","2019-10-23T00:00:00.000","2","NOV SENT OUT","2019-10-23T00:00:00.000","Original","Open","N",,,,,,,,
"13348445","375411","306067","3","BROOKLYN","22 FRONT","22 FRON","22 FRONT","STAGG STREET","80930","11206",,"Yards / Courts","3031","15","B","2019-10-21T00:00:00.000","2019-10-22T00:00:00.000","2019-12-11T00:00:00.000","2019-11-27T00:00:00.000",,,,"510","6643183","§ 27-2005 ADM CODE & 309 M/D LAW ABATE THE NUISANCE CONSISTING OF GARBAGE BEING STORED BELOW DROPLADDER OF FIRE ESCAPE AT THE REAR OF THE FRONT BUILDING","2019-10-23T00:00:00.000","19","VIOLATION CLOSED","2021-05-06T00:00:00.000","Original","Close","N",,,,,,,,
"14217025","375411","306067","3","BROOKLYN","22 FRONT","22 FRON","22 FRONT","STAGG STREET","80930","11206",,,"3031","15","A","2021-04-13T00:00:00.000","2021-04-13T00:00:00.000","2021-07-31T00:00:00.000","2021-07-17T00:00:00.000",,,,"1507","7243625","(A) § HMC:FILE ANNUAL BEDBUG REPORT IN ACCORDANCE WITH HPD RULE AS DESCRIBED ON THE BACK OF THIS NOTICE OF VIOLATION OR AS DESCRIBED ON HPDâS WEBSITE, WWW.NYC.GOV\HPD, SEARCH BED BUGS.","2021-04-13T00:00:00.000","9","VIOLATION DISMISSED","2022-03-07T00:00:00.000","Original","Close","N",,,,,,,,
"14251618","805012","100420","1","MANHATTAN","144REAR","144rear","146 REAR","LUDLOW STREET","25090","10002",,,"411","45","A","2021-04-16T00:00:00.000","2021-04-16T00:00:00.000","2021-08-03T00:00:00.000","2021-07-20T00:00:00.000",,,,"1507","7279126","(A) § HMC:FILE ANNUAL BEDBUG REPORT IN ACCORDANCE WITH HPD RULE AS DESCRIBED ON THE BACK OF THIS NOTICE OF VIOLATION OR AS DESCRIBED ON HPDâS WEBSITE, WWW.NYC.GOV\HPD, SEARCH BED BUGS.","2021-04-16T00:00:00.000","9","VIOLATION DISMISSED","2021-04-28T00:00:00.000","Original","Close","N",,,,,,,,
"14958808","375411","306067","3","BROOKLYN","22 FRONT","22 FRON","22 FRONT","STAGG STREET","80930","11206",,,"3031","15","A","2022-03-02T00:00:00.000","2022-03-02T00:00:00.000","2022-06-19T00:00:00.000","2022-06-05T00:00:00.000",,,,"1507","7754414","(A) § HMC:FILE ANNUAL BEDBUG REPORT IN ACCORDANCE WITH HPD RULE AS DESCRIBED ON THE BACK OF THIS NOTICE OF VIOLATION OR AS DESCRIBED ON HPDâS WEBSITE, WWW.NYC.GOV\HPD, SEARCH BED BUGS.","2022-03-02T00:00:00.000","9","VIOLATION DISMISSED","2022-03-07T00:00:00.000","Original","Close","N",,,,,,,,
"14958809","375411","306067","3","BROOKLYN","22 FRONT","22 FRON","22 FRONT","STAGG STREET","80930","11206",,,"3031","15","I","2022-03-02T00:00:00.000","2022-03-02T00:00:00.000",,,,,,"780",,"§27-2107 ADM CODE OWNER FAILED TO FILE A VALID REGISTRATION STATEMENT WITH THE DEPARTMENT AS REQUIRED BY ADM CODE §27-2097 AND IS THEREFORE SUBJECT TO CIVIL PENALTIES, PROHIBITED FROM CERTIFYING VIOLATIONS, AND DENIED THE RIGHT TO RECOVER POSSESSION OF PREMISES FOR NONPAYMENT OF RENT UNTIL A VALID REGISTRATION STATEMENT IS FILED.",,"9","VIOLATION DISMISSED","2022-03-03T00:00:00.000",,"Close","N",,,,,,,,
"15004789","805012","100420","1","MANHATTAN","144REAR","144rear","146 REAR","LUDLOW STREET","25090","10002",,,"411","45","A","2022-03-08T00:00:00.000","2022-03-08T00:00:00.000","2022-06-25T00:00:00.000","2022-06-11T00:00:00.000",,,,"1507","7793231","(A) § HMC:FILE ANNUAL BEDBUG REPORT IN ACCORDANCE WITH HPD RULE AS DESCRIBED ON THE BACK OF THIS NOTICE OF VIOLATION OR AS DESCRIBED ON HPDâS WEBSITE, WWW.NYC.GOV\HPD, SEARCH BED BUGS.","2022-03-08T00:00:00.000","9","VIOLATION DISMISSED","2022-03-23T00:00:00.000","Original","Close","N",,,,,,,,
"16138094","375411","306067","3","BROOKLYN","22 FRONT","22 FRON","22 FRONT","STAGG STREET","80930","11206",,"3","3031","15","B","2023-07-31T00:00:00.000","2023-08-04T00:00:00.000","2023-09-25T00:00:00.000","2023-09-11T00:00:00.000",,,,"507","8589258","§ 27-2005 ADM CODE REPAIR THE ROOF SO THAT IT WILL NOT LEAK OVER CEILING AT PUBLIC HALL, 3rd STORY","2023-08-07T00:00:00.000","2","NOV SENT OUT","2023-08-07T00:00:00.000","Original","Open","Y",,,,,,,,
"16138096","375411","306067","3","BROOKLYN","22 FRONT","22 FRON","22 FRONT","STAGG STREET","80930","11206",,"3","3031","15","B","2023-07-31T00:00:00.000","2023-08-04T00:00:00.000","2023-09-25T00:00:00.000","2023-09-11T00:00:00.000",,,,"502","8589258","§ 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE FIRE RETARDANT MATERIAL AT THE CEILING AT PUBLIC HALL, 3rd STORY","2023-08-07T00:00:00.000","2","NOV SENT OUT","2023-08-07T00:00:00.000","Original","Open","N",,,,,,,,
"16138097","375411","306067","3","BROOKLYN","22 FRONT","22 FRON","22 FRONT","STAGG STREET","80930","11206",,"3","3031","15","A","2023-07-31T00:00:00.000","2023-08-04T00:00:00.000","2023-11-24T00:00:00.000","2023-11-10T00:00:00.000",,,,"556","8589257","§ 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT THE CEILING AT PUBLIC HALL, 3rd STORY","2023-08-07T00:00:00.000","2","NOV SENT OUT","2023-08-07T00:00:00.000","Original","Open","N",,,,,,,,
"16138111","375411","306067","3","BROOKLYN","22 FRONT","22 FRON","22 FRONT","STAGG STREET","80930","11206",,"1","3031","15","B","2023-07-31T00:00:00.000","2023-08-04T00:00:00.000","2023-09-25T00:00:00.000","2023-09-11T00:00:00.000",,,,"501","8589258","§ 27-2005 HMC: PROPERLY REPAIR OR REPLACE THE BROKEN OR DEFECTIVE METAL RADIATOR COVER AT THE BASEBAORD RADIATOR ON THE EAST WALL AT PUBLIC HALL, 1st STORY","2023-08-07T00:00:00.000","2","NOV SENT OUT","2023-08-07T00:00:00.000","Original","Open","N",,,,,,,,
"2282806","375411","306067","3","BROOKLYN","22 FRONT","22 FRON","22 FRONT","STAGG STREET","80930","11206","1F",,"3031","15","C","1991-01-02T00:00:00.000","1991-01-02T00:00:00.000","1991-02-27T00:00:00.000","1991-02-25T00:00:00.000",,,,"555","1378858","§ 27-2013 ADM CODE REMOVE OR COVER IN A MANNER APPROVED BY THE DEPARTMENT THE PEELING LEAD PAINT CEILING 1 STY EAST APT 1F KITCHEN ARVELO 384 0744 ER1 0021423. , SECTION","1991-02-05T00:00:00.000","19","VIOLATION CLOSED","2013-03-15T00:00:00.000","Original","Close","N",,,,,,,,
"2282807","375411","306067","3","BROOKLYN","22 FRONT","22 FRON","22 FRONT","STAGG STREET","80930","11206","1F",,"3031","15","C","1991-01-02T00:00:00.000","1991-01-02T00:00:00.000","1991-02-27T00:00:00.000","1991-02-25T00:00:00.000",,,,"555","1378858","§ 27-2013 ADM CODE REMOVE OR COVER IN A MANNER APPROVED BY THE DEPARTMENT THE PEELING LEAD PAINT CEILING 1 STY EAST APT 1F NORTH ROOM ER1 0021423. , SECTION","1991-02-05T00:00:00.000","19","VIOLATION CLOSED","2013-03-15T00:00:00.000","Original","Close","N",,,,,,,,
"10000476","806232","221755","2","BRONX","100","100","100","ALDRICH STREET","79800","10475","2J","2","5141","120","B","2013-10-09T00:00:00.000","2013-10-10T00:00:00.000","2013-11-29T00:00:00.000","2013-11-15T00:00:00.000",,,,"649","4706940","§ 27-2026 ADM CODE REMOVE ALL OBSTRUCTIONS AND REPAIR ALL DEFECTS IN AT SINK IN THE KITCHEN LOCATED AT APT 2J, 2nd STORY, 3rd APARTMENT FROM NORTH AT EAST","2013-10-11T00:00:00.000","28","INVALID CERTIFICATION","2013-11-18T00:00:00.000","Original","Open","Y","40.870160","-73.831896","10","12","46205","2095395","2051410120","Co-op City"
